120;0;122;2021-03-18;;DONE;"Vélo change les vitesses tout seul
+ Entretien vélo de sa copine tarif non client 
Entretien à Namur ou Saint-GIlles au choix

Entretien 18 mars 2021

Vélo Conway Xyron 427

Réglage vitesse 
Réglage freins
Lubrification chaine
Vérification éléments de sécurité
Mise à jour système électrique
Nettoyage
Retrait cadenas (explication donné)
Vérification générale
Etat transmission OK

Vélo Cube HPC Acces

Nettoyage
Pression pneus
Lubrification Chaine
Réglage vitesse
Réglage freins
Vérification éléments de sécurité
Mise à jour système électrique
Vérification générale
";NULL;NULL;2;NULL;NULL;0;0;0;2021-03-29 12:54:50;2021-03-29 12:54:50
121;0;122;2022-02-18;Rue sous l’église 14. 5020 Temploux;CONFIRMED;;"Le vélo se situe au domicile de mes parents. Rue sous l’église 14. 5020 Temploux (Namur)

Note 4. 
Remarque mécanicien : encore ce problème de roulement.

Vélo repris à l'atelier, problème de VIS triangle arrière";2022-02-18 00:00:00;3;NULL;2022-02-18 00:00:00;0;0;0;2022-02-15 16:18:51;2022-02-15 16:18:51
122;0;122;2022-10-27;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:30:35;2020-10-11 18:30:35
123;0;329;2020-11-26;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-12-09 08:10:36;2020-12-09 08:10:36
124;0;329;2021-08-11;324 Avenue de Tervueren, 1150 Woluwe saint Pierre. Boite 15;DONE;"Pression pneus
réglage vitesses
réglage freins
essai vélo";;2021-08-11 00:00:00;2;2021-08-25 09:00:56;2021-08-11 00:00:00;0;0;0;2021-08-25 09:00:56;2021-08-25 09:00:56
125;0;329;2022-05-01;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:40:20;2020-10-11 18:40:20
126;0;329;2023-02-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:40:20;2020-10-11 18:40:20
127;0;308;2020-11-26;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-12-09 08:10:25;2020-12-09 08:10:25
128;0;308;2022-02-21;;TO_PLAN;;Entretien proposé le 19-01-2022 resté sans réponse, reporté à février;2022-02-21 00:00:00;2;NULL;2022-02-21 00:00:00;0;0;0;2022-02-14 08:55:17;2022-02-14 08:55:17
129;0;308;2022-04-20;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:42:27;2020-10-11 18:42:27
130;0;308;2023-01-20;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:42:27;2020-10-11 18:42:27
131;0;330;2020-11-26;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-12-09 08:10:48;2020-12-09 08:10:48
132;0;330;2021-11-25;Rue du Ham 45 Uccle 1180;DONE;;;2021-11-25 00:00:00;2;2021-11-28 18:35:56;2021-11-25 00:00:00;0;0;0;2021-11-28 18:35:56;2021-11-28 18:35:56
133;0;330;2022-06-23;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:58:26;2020-10-11 18:58:26
134;0;330;2023-03-23;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:58:26;2020-10-11 18:58:26
135;0;8;2020-10-13;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-10-19 10:14:19;2020-10-19 10:14:19
137;0;8;2021-09-15;8 Rue de la Brasserie, 4000 Liège;DONE;"Entretien sécurité
pression pneus
serrages sécurité
réglage vitesses
réglage freins
Remplacement Intuvia + commande déportée";;2021-09-15 00:00:00;3;2021-09-27 09:28:22;2021-09-15 00:00:00;1;0;0;2021-09-27 09:28:22;2021-09-27 09:28:22
138;0;8;2022-07-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-13 12:23:39;2020-10-13 12:23:39
139;0;7;2020-10-13;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-10-19 10:14:19;2020-10-19 10:14:19
